seed,true_reward,final_reward
0,0.4096186356737876,[-8.84242813e-03  4.01067294e-04  9.99740986e-01  3.34300093e-03]
1,0.40961538936301695,[-8.84199843e-03  4.00534154e-04  9.99740325e-01  3.34142285e-03]
2,0.409620943645326,[-8.84291251e-03  4.00928955e-04  9.99739856e-01  3.34280803e-03]
3,0.40961814116268186,[-8.84237289e-03  4.01078034e-04  9.99740667e-01  3.34149498e-03]
4,0.4096170875888738,[-8.84241438e-03  4.01402434e-04  9.99739647e-01  3.34267135e-03]
5,0.4096211748622877,[-8.84268205e-03  4.00815338e-04  9.99741508e-01  3.34210276e-03]
6,0.40962084416664374,[-8.84276237e-03  4.01365306e-04  9.99740765e-01  3.34156998e-03]
7,0.40961560459357804,[-8.84200344e-03  4.00620883e-04  9.99740663e-01  3.34232669e-03]
8,0.4096200377187314,[-8.84277118e-03  4.01332358e-04  9.99739924e-01  3.34169191e-03]
