seed,true_reward,final_reward
0,-0.005337612105713574,[-0.76364862  0.16465508  0.8846495   1.55055918]
1,-0.005404555208189125,[-0.75799043  0.16356182  0.87487906  1.53802949]
2,-0.005544267321006029,[-0.76349072  0.16405414  0.86694851  1.54862059]
3,-0.00534426851047183,[-0.7559484   0.16909509  0.87765834  1.53476198]
4,-0.005460029200041746,[-0.76129851  0.1673233   0.87274199  1.54505268]
5,-0.005205194145538411,[-0.75949569  0.16372513  0.89129803  1.54234234]
6,-0.005355815975672318,[-0.75818392  0.16985769  0.87853645  1.53938146]
7,-0.00538367188447594,[-0.76068747  0.16262208  0.87869997  1.54375991]
8,-0.005502598368795124,[-0.75717753  0.17233901  0.8662496   1.53671526]
