seed,true_reward,final_reward
0,0.7008483844206782,[-0.0806013   0.00623315  0.93265878  0.05827293]
1,0.7008487071763271,[-0.08060098  0.00623214  0.93265922  0.05826879]
2,0.7008489594257491,[-0.08060123  0.00623291  0.93265945  0.05827261]
3,0.7008489063726115,[-0.08060098  0.00623311  0.93265947  0.05826778]
4,0.7008486020323522,[-0.08060124  0.00623337  0.93265895  0.05827123]
5,0.7008488384042741,[-0.08060104  0.00623246  0.93265936  0.05826973]
6,0.700848965889987,[-0.08060111  0.00623357  0.93265943  0.0582692 ]
7,0.7008488300544332,[-0.08060106  0.0062323   0.93265941  0.05827068]
8,0.7008490777939179,[-0.0806011   0.00623388  0.93265957  0.05826879]
