seed,true_reward,final_reward
0,0.904704444982712,[-0.16433589  0.0253522   0.9872544   0.14071375]
1,0.9046995199851052,[-0.16433597  0.02535219  0.9872485   0.14071288]
2,0.904695371239915,[-0.16433604  0.0253521   0.98724358  0.14071261]
3,0.9047004960799715,[-0.16433613  0.0253551   0.98724981  0.1407126 ]
4,0.9046983593911013,[-0.16433606  0.02535416  0.98724722  0.14071219]
5,0.9047067418689609,[-0.16433584  0.02535207  0.9872571   0.14071378]
6,0.9047008751370381,[-0.16433619  0.02535565  0.9872503   0.1407129 ]
7,0.904701262583173,[-0.16433589  0.02535135  0.98725054  0.14071323]
8,0.9046956367894883,[-0.16433638  0.02535707  0.98724415  0.14071229]
