seed,true_reward,final_reward
0,0.5444719221187724,[-0.258791    0.05917809  0.70503501  0.44623644]
1,0.5452715021851122,[-0.25860944  0.05907549  0.70503212  0.44495492]
2,0.5444637749827078,[-0.25878792  0.05916651  0.70497186  0.44611707]
3,0.5454900311722964,[-0.25856906  0.05919128  0.70504625  0.44463497]
4,0.5447539864353309,[-0.25872925  0.05921941  0.70500094  0.4457157 ]
5,0.5451279296635242,[-0.25864607  0.05909743  0.70508295  0.44529161]
6,0.5451910566312566,[-0.25863717  0.05924223  0.70503562  0.44509105]
7,0.5449136320891158,[-0.25868867  0.05908673  0.70503253  0.44552736]
8,0.5452500352369622,[-0.25862415  0.05929565  0.70499351  0.44490787]
