seed,true_reward,final_reward
0,0.890114078722737,"[ 0.92651459 -5.86640943 -1.5087569  -1.66105801 -0.83258839 -0.78632417
 -0.31311272 -0.76307956 -0.08837053]"
1,0.890114078722737,"[ 0.9243708  -5.87698024 -1.51696678 -1.67961357 -0.84030741 -0.79788755
 -0.31504323 -0.77518091 -0.08644044]"
2,0.890114078722737,"[ 0.91173286 -5.86900638 -1.52059842 -1.6731156  -0.85316279 -0.79437929
 -0.32054715 -0.77165653 -0.09737627]"
3,0.890114078722737,"[ 0.92682777 -5.86653288 -1.51533552 -1.68254097 -0.84841055 -0.79427628
 -0.32779959 -0.77191425 -0.08979994]"
4,0.890114078722737,"[ 0.91565119 -5.86500997 -1.51691912 -1.67391315 -0.84819016 -0.79064627
 -0.32568119 -0.76766409 -0.08658934]"
