seed,true_reward,final_reward
0,0.8639518566977863,"[  3.02283399 -21.14717422  -5.19802452  -6.38345947  -3.31642642
  -2.20184494  -1.32575322  -1.99574356  -0.30922292]"
1,0.8639518566977863,"[  3.02046305 -21.15791897  -5.2046888   -6.39968129  -3.32383355
  -2.21550543  -1.33040359  -2.00956539  -0.3077361 ]"
2,0.8639518566977863,"[  3.00932622 -21.14916193  -5.20739342  -6.39706512  -3.33204349
  -2.21168562  -1.33636037  -2.00707553  -0.31962819]"
3,0.8639518566977863,"[  3.02320209 -21.14728937  -5.20416667  -6.40206412  -3.33113999
  -2.2125424   -1.34308431  -2.008078    -0.31184442]"
4,0.8639518566977863,"[  3.01301925 -21.14538999  -5.20502818  -6.39603651  -3.32939379
  -2.209242    -1.33994023  -2.00182602  -0.30834259]"
