seed,true_reward,final_reward
0,0.8584707037784233,"[ 0.11540214 -0.89034149 -0.19018979 -0.25463471 -0.20112822 -0.03906121
 -0.02819083 -0.03176539 -0.00753074]"
1,0.8584707037784233,"[ 0.11540128 -0.8903439  -0.19019108 -0.25463906 -0.20113061 -0.03906546
 -0.02819252 -0.03176903 -0.00753024]"
2,0.8584707037784233,"[ 0.1153968  -0.8903428  -0.19019137 -0.25463875 -0.20113199 -0.03906366
 -0.02819446 -0.03176919 -0.00753386]"
3,0.8584707037784233,"[ 0.1154021  -0.89034249 -0.19019057 -0.25463993 -0.20113268 -0.03906379
 -0.02819642 -0.03176901 -0.00753152]"
4,0.8584707037784233,"[ 0.11539812 -0.89034227 -0.1901908  -0.25463843 -0.20113182 -0.03906387
 -0.0281956  -0.03176619 -0.00753043]"
