seed,true_reward,final_reward
0,0.890114078722737,"[ 0.91522689 -5.79719619 -1.49267856 -1.6420673  -0.82219116 -0.7774205
 -0.31023727 -0.754113   -0.08743183]"
1,0.890114078722737,"[ 0.91313496 -5.80750928 -1.50067793 -1.66015136 -0.82971381 -0.78872939
 -0.31214712 -0.76594856 -0.08555367]"
2,0.890114078722737,"[ 0.90082654 -5.79971595 -1.50420784 -1.65385104 -0.84222193 -0.78530549
 -0.3175202  -0.76250984 -0.09623471]"
3,0.890114078722737,"[ 0.91553486 -5.79730095 -1.49910292 -1.66299564 -0.83761218 -0.78522091
 -0.32459792 -0.7627777  -0.08883848]"
4,0.890114078722737,"[ 0.90464569 -5.79581235 -1.50063539 -1.65460785 -0.83738917 -0.78166948
 -0.32251681 -0.75861129 -0.08570183]"
