seed,true_reward,final_reward
0,0.027777777777777776,"[ -3.63741028  -0.62918487 -12.74031927  -4.4284977   -4.32771189
  -4.44119832  -2.33229739   1.67280665   0.821205  ]"
1,0.027777777777777776,"[ -3.64360891  -0.63728    -12.75315795  -4.45657287  -4.33652195
  -4.45353684  -2.33532557   1.66619707   0.82641506]"
2,0.027777777777777776,"[ -3.64806056  -0.63165911 -12.75756052  -4.44308425  -4.36248614
  -4.43591373  -2.33753723   1.66096198   0.81017003]"
3,0.027777777777777776,"[ -3.63894827  -0.62998923 -12.75347686  -4.46418236  -4.35092927
  -4.43564283  -2.35076502   1.66755313   0.82296319]"
4,0.027777777777777776,"[ -3.64323823  -0.62791233 -12.75379794  -4.45023906  -4.3502044
  -4.44624709  -2.34812813   1.68066613   0.82489958]"
