seed,true_reward,final_reward
0,0.884848039438579,"[ 0.42917059 -2.88178678 -0.73865245 -0.87981515 -0.42599811 -0.36575266
 -0.18561619 -0.34464043 -0.04794505]"
1,0.884848039438579,"[ 0.42917061 -2.88178719 -0.73865253 -0.87981611 -0.42599895 -0.3657537
 -0.18561698 -0.34464152 -0.04794546]"
2,0.884848039438579,"[ 0.42917045 -2.88178691 -0.73865246 -0.87981633 -0.42599917 -0.36575385
 -0.18561722 -0.34464162 -0.04794613]"
3,0.884848039438579,"[ 0.42917065 -2.88178683 -0.73865249 -0.87981641 -0.42599938 -0.36575392
 -0.18561748 -0.34464172 -0.04794589]"
4,0.884848039438579,"[ 0.42917052 -2.88178676 -0.73865245 -0.87981605 -0.42599898 -0.36575354
 -0.18561706 -0.34464134 -0.04794556]"
