seed,true_reward,final_reward
0,0.027777777777777776,"[ -2.04160091  -1.55785137 -24.11697822 -15.06667609  -8.74427483
  -8.78138426  -6.12844789   3.05824658  -0.42914972]"
1,0.027777777777777776,"[ -2.04275844  -1.5627931  -24.1288362  -15.07957313  -8.75062518
  -8.79007863  -6.13592217   3.05634666  -0.42798882]"
2,0.027777777777777776,"[ -2.04213124  -1.55945206 -24.13068816 -15.07549207  -8.76845133
  -8.77810452  -6.13216127   3.05435172  -0.4323022 ]"
3,0.027777777777777776,"[ -2.04195331  -1.55908246 -24.12778413 -15.08684337  -8.76017805
  -8.77787857  -6.1445583    3.05668756  -0.42880576]"
4,0.027777777777777776,"[ -2.04145859  -1.55757115 -24.12703856 -15.08080341  -8.75978515
  -8.78492112  -6.13940685   3.06069619  -0.42787222]"
