seed,true_reward,final_reward
0,1.0,"[ 0.01102533  0.00250098  0.00611711  0.01400558  0.01167224 -0.00610799
  0.00593805 -0.00094598  0.09935488]"
1,0.027777777777777776,"[ 0.01015216 -0.00382348 -0.00330107 -0.00670605  0.0054088  -0.01438462
  0.01090507 -0.00475754  0.10199399]"
2,0.6111111111111112,"[-0.00260474 -0.00035167 -0.01335123  0.01025169 -0.01120897 -0.00526092
  0.00314301 -0.00778305  0.0933878 ]"
3,0.027777777777777776,"[ 0.01117893  0.00272819  0.00060311 -0.01164683 -0.00173368 -0.00221724
 -0.00051713 -0.00391875  0.09972614]"
4,0.5,"[ 0.00031601  0.0031247  -0.00622443  0.00433499 -0.00261438 -0.00990361
 -0.00404817  0.00374109  0.10207656]"
