seed,true_reward,final_reward
0,0.027777777777777776,"[ -2.19381758  -1.74501337 -27.03303864 -16.79783785  -9.7928179
  -9.83874658  -6.8524852    3.32703023  -0.62005689]"
1,0.027777777777777776,"[ -2.19541711  -1.75122698 -27.04809654 -16.8140838   -9.80086172
  -9.84976334  -6.86198994   3.32465976  -0.61828898]"
2,0.027777777777777776,"[ -2.19455937  -1.74701123 -27.05050236 -16.80896816  -9.82344595
  -9.83462463  -6.85714224   3.32220293  -0.62454261]"
3,0.027777777777777776,"[ -2.19432537  -1.74655591 -27.04669084 -16.82334665  -9.8129369
  -9.83427972  -6.87291213   3.3250903   -0.61950141]"
4,0.027777777777777776,"[ -2.19365164  -1.74465774 -27.04583042 -16.81570997  -9.81246543
  -9.84323215  -6.86632123   3.33007047  -0.61827597]"
