seed,true_reward,final_reward
0,0.4722222222222222,"[-0.02841727 -0.00491551 -0.09953374 -0.03459764 -0.03381025 -0.03469686
 -0.01822107  0.0130688   0.99860316]"
1,0.4722222222222222,"[-0.02846569 -0.00497875 -0.09963405 -0.03481698 -0.03387908 -0.03479326
 -0.01824473  0.01301716  0.99864387]"
2,0.4722222222222222,"[-0.02850047 -0.00493484 -0.09966844 -0.0347116  -0.03408192 -0.03465558
 -0.01826201  0.01297627  0.99851695]"
3,0.4722222222222222,"[-0.02842928 -0.00492179 -0.09963654 -0.03487642 -0.03399163 -0.03465346
 -0.01836535  0.01302776  0.9986169 ]"
4,0.4722222222222222,"[-0.0284628  -0.00490557 -0.09963905 -0.03476749 -0.03398597 -0.03473631
 -0.01834475  0.0131302   0.99863203]"
