seed,true_reward,final_reward
0,0.4722222222222222,"[-0.25426541 -0.04115233 -0.85936582 -0.34970216 -0.29628948 -0.30420731
 -0.17468473  0.11969769  0.98276165]"
1,0.4722222222222222,"[-0.25426545 -0.04115244 -0.85936615 -0.34970312 -0.29628975 -0.30420778
 -0.17468548  0.11969739  0.98276183]"
2,0.4722222222222222,"[-0.25426544 -0.04115242 -0.85936593 -0.3497028  -0.29629083 -0.30420704
 -0.17468532  0.11969713  0.98276131]"
3,0.4722222222222222,"[-0.25426542 -0.04115243 -0.85936632 -0.34970351 -0.29629044 -0.30420722
 -0.17468587  0.11969741  0.98276174]"
4,0.4722222222222222,"[-0.25426542 -0.04115236 -0.85936605 -0.34970317 -0.29629037 -0.30420757
 -0.17468563  0.11969799  0.98276177]"
