seed,true_reward,final_reward
0,1.0,[-0.11710873 -0.10259202  0.86131765 -0.00952834]
1,1.0,[-0.14802662 -0.14640189  0.95567383  0.22473295]
2,1.0,[-0.09253107  0.03076891  0.83089134  0.26245678]
3,1.0,[-0.19034408 -0.00774102  0.66314072  0.23986691]
4,1.0,[-0.03012402 -0.01452982  0.85299472 -0.04653641]
