seed,true_reward,final_reward
0,0.0,[-0.01875097 -0.04036103  1.92275516  0.09038983]
1,0.0,[-0.02015866 -0.04987197  1.92189021  0.05996833]
2,0.0,[-0.03816488 -0.04637135  1.92100704  0.08492324]
3,0.0,[-0.01843126 -0.04066046  1.92229318  0.05275307]
4,0.0,[-0.03367496 -0.04091086  1.92163544  0.07628726]
