seed,true_reward,final_reward
0,0.8993392114761606,"[ 1.41124188  0.32012577  0.78299039  1.79271456  1.49404639 -0.7818223
  0.76007073 -0.12108577 -0.08257508]"
1,0.9061197542508246,"[ 1.29947629 -0.48940513 -0.4225374  -0.8583749   0.6923261  -1.84123096
  1.39584941 -0.60896552  0.25523128]"
2,0.6030999683461316,"[-0.33340628 -0.04501346 -1.70895688  1.31221665 -1.43474847 -0.67339789
  0.40230513 -0.99623047 -0.84636178]"
3,0.998288270820263,"[ 1.43090278  0.34920788  0.07719797 -1.49079416 -0.22191056 -0.28380718
 -0.06619319 -0.50160054 -0.03505454]"
4,0.6030999683461316,"[ 0.04044937  0.39996107 -0.79672714  0.55487881 -0.33464122 -1.26766179
 -0.51816541  0.47886014  0.26580003]"
