seed,true_reward,final_reward
0,0.0,[ 0.00930265 -1.29147612  1.48655957  0.13876437]
1,-0.07142857142857142,[ 0.30446424 -1.85374906  2.44865867  2.70328323]
2,-0.07142857142857142,[-0.07864874 -0.05709218  0.557957    2.4589073 ]
3,1.0,[-1.21394563  0.06223352 -1.22526517  2.18613326]
4,-1.2142857142857142,[ 1.3812062  -0.30100242  1.11147999 -0.44860545]
