seed,true_reward,final_reward
0,0.027777777777777776,"[-1.81870514 -0.31459244 -6.37015964 -2.21424885 -2.16385595 -2.22059916
 -1.16614869  0.83640333  0.9106025 ]"
1,0.027777777777777776,"[-1.82180446 -0.31864    -6.37657897 -2.22828643 -2.16826097 -2.22676842
 -1.16766279  0.83309854  0.91320753]"
2,0.027777777777777776,"[-1.82403028 -0.31582956 -6.37878026 -2.22154212 -2.18124307 -2.21795686
 -1.16876862  0.83048099  0.90508501]"
3,0.027777777777777776,"[-1.81947413 -0.31499461 -6.37673843 -2.23209118 -2.17546464 -2.21782141
 -1.17538251  0.83377657  0.9114816 ]"
4,0.027777777777777776,"[-1.82161912 -0.31395616 -6.37689897 -2.22511953 -2.1751022  -2.22312354
 -1.17406407  0.84033307  0.91244979]"
