seed,true_reward,final_reward
0,0.4722222222222222,"[-0.45334461 -0.07363042 -1.55889141 -0.59197296 -0.53421901 -0.54717197
 -0.26784922  0.21010556  0.79581818]"
1,0.4722222222222222,"[-0.45404411 -0.07465619 -1.56052753 -0.59546591 -0.53532873 -0.54872392
 -0.26822609  0.20927663  0.79658388]"
2,0.4722222222222222,"[-0.45452647 -0.07393675 -1.56103731 -0.59380304 -0.53856533 -0.5464996
 -0.26850969  0.20862696  0.79435743]"
3,0.4722222222222222,"[-0.45352744 -0.07373408 -1.56060137 -0.59637229 -0.53713777 -0.54648463
 -0.27019525  0.20944641  0.79622335]"
4,0.4722222222222222,"[-0.45398728 -0.07345214 -1.56049439 -0.59478389 -0.53701556 -0.54777652
 -0.26977636  0.21109447  0.79609782]"
