seed,true_reward,final_reward
0,0.0,[-0.59768803  0.14606771  0.91615038  0.93779532]
1,0.0,[-0.59768432  0.14606851  0.91615084  0.93777541]
2,0.0,[-0.59768767  0.14606787  0.91614995  0.93779325]
3,0.0,[-0.59768337  0.14606881  0.91615108  0.9377703 ]
4,0.0,[-0.59768648  0.14606816  0.91615033  0.93778692]
