seed,true_reward,final_reward
0,0.8993392114761606,"[ 0.17640523  0.04001572  0.0978738   0.22408932  0.1867558  -0.09772779
  0.09500884 -0.01513572 -0.01032189]"
1,0.9061197542508246,"[ 0.16243454 -0.06117564 -0.05281718 -0.10729686  0.08654076 -0.23015387
  0.17448118 -0.07612069  0.03190391]"
2,0.6030999683461316,"[-0.04167578 -0.00562668 -0.21361961  0.16402708 -0.17934356 -0.08417474
  0.05028814 -0.12452881 -0.10579522]"
3,0.998288270820263,"[ 0.17886285  0.04365099  0.00964975 -0.18634927 -0.02773882 -0.0354759
 -0.00827415 -0.06270007 -0.00438182]"
4,0.6030999683461316,"[ 0.00505617  0.04999513 -0.09959089  0.06935985 -0.04183015 -0.15845772
 -0.06477068  0.05985752  0.033225  ]"
