seed,true_reward,final_reward
0,1.0,"[ 0.02205065  0.00500197  0.01223422  0.02801116  0.02334447 -0.01221597
  0.01187611 -0.00189197  0.99870976]"
1,0.5,"[ 0.02030432 -0.00764696 -0.00660215 -0.01341211  0.0108176  -0.02876923
  0.02181015 -0.00951509  1.00398799]"
2,0.4722222222222222,"[-5.20947309e-03 -7.03335340e-04 -2.67024512e-02  2.05033851e-02
 -2.24179448e-02 -1.05218421e-02  6.28601771e-03 -1.55661011e-02
  9.86775597e-01]"
3,0.5,"[ 0.02235786  0.00545637  0.00120622 -0.02329366 -0.00346735 -0.00443449
 -0.00103427 -0.00783751  0.99945227]"
4,0.5,"[ 6.32021339e-04  6.24939167e-03 -1.24488616e-02  8.66998135e-03
 -5.22876900e-03 -1.98072154e-02 -8.09633459e-03  7.48218967e-03
  1.00415313e+00]"
