seed,true_reward,final_reward
0,0.4722222222222222,"[-0.45467628 -0.07864811 -1.59253991 -0.55356221 -0.54096399 -0.55514979
 -0.29153717  0.20910083  0.97765062]"
1,0.4722222222222222,"[-0.45545111 -0.07966    -1.59414474 -0.55707161 -0.54206524 -0.55669211
 -0.2919157   0.20827463  0.97830188]"
2,0.4722222222222222,"[-0.45600757 -0.07895739 -1.59469506 -0.55538553 -0.54531077 -0.55448922
 -0.29219215  0.20762025  0.97627125]"
3,0.4722222222222222,"[-0.45486853 -0.07874865 -1.59418461 -0.5580228  -0.54386616 -0.55445535
 -0.29384563  0.20844414  0.9778704 ]"
4,0.4722222222222222,"[-0.45540478 -0.07848904 -1.59422474 -0.55627988 -0.54377555 -0.55578089
 -0.29351602  0.21008327  0.97811245]"
