seed,true_reward,final_reward
0,-0.3333333333333333,"[ 8.83381884e+67  2.18606252e+67  1.56518288e+68  1.06714169e+68
  1.06464462e+68  6.46937616e+66  4.78933996e+67 -1.88839582e+67
 -3.52748638e+69]"
1,-0.3333333333333333,"[ 8.33344389e+67 -1.40351571e+67  1.03361039e+68 -9.99818459e+66
  7.11409073e+67 -4.01946489e+67  7.59464328e+67 -4.03624911e+67
 -3.51261425e+69]"
2,-0.6944444444444444,"[ 6.89222974e+66  5.56342160e+66  4.66750113e+67  8.56384535e+67
 -2.25066279e+67  1.12078990e+67  3.21429300e+67 -5.74208809e+67
 -3.56111758e+69]"
3,-0.3333333333333333,"[ 8.92562931e+67  2.31491192e+67  1.25436869e+68 -3.78479128e+67
  3.09183629e+67  2.83944587e+67  1.15422281e+67 -3.56348214e+67
 -3.52539639e+69]"
4,-0.3333333333333333,"[ 2.45577018e+67  2.53413473e+67  8.69864002e+67  5.22249788e+67
  2.59655696e+67 -1.49133060e+67 -8.38630951e+66  7.52127901e+66
 -3.51215542e+69]"
