seed,true_reward,final_reward
0,0.4722222222222222,"[-0.90935257 -0.15729622 -3.18507982 -1.10712443 -1.08192797 -1.11029958
 -0.58307435  0.41820166  0.95530125]"
1,0.4722222222222222,"[-0.91090223 -0.15932    -3.18828949 -1.11414322 -1.08413049 -1.11338421
 -0.58383139  0.41654927  0.95660377]"
2,0.4722222222222222,"[-0.91201514 -0.15791478 -3.18939013 -1.11077106 -1.09062154 -1.10897843
 -0.58438431  0.4152405   0.95254251]"
3,0.4722222222222222,"[-0.90973707 -0.15749731 -3.18836921 -1.11604559 -1.08773232 -1.10891071
 -0.58769125  0.41688828  0.9557408 ]"
4,0.4722222222222222,"[-0.91080956 -0.15697808 -3.18844948 -1.11255977 -1.0875511  -1.11156177
 -0.58703203  0.42016653  0.9562249 ]"
