seed,true_reward,final_reward
0,0.8639518566977863,"[ 0.09446356 -0.66084919 -0.16243827 -0.19948311 -0.10363833 -0.06880765
 -0.04142979 -0.06236699 -0.00966322]"
1,0.8639518566977863,"[ 0.09438947 -0.66118497 -0.16264653 -0.19999004 -0.1038698  -0.06923454
 -0.04157511 -0.06279892 -0.00961675]"
2,0.8639518566977863,"[ 0.09404144 -0.66091131 -0.16273104 -0.19990828 -0.10412636 -0.06911518
 -0.04176126 -0.06272111 -0.00998838]"
3,0.8639518566977863,"[ 0.09447507 -0.66085279 -0.16263021 -0.2000645  -0.10409812 -0.06914195
 -0.04197138 -0.06275244 -0.00974514]"
4,0.8639518566977863,"[ 0.09415685 -0.66079344 -0.16265713 -0.19987614 -0.10404356 -0.06903881
 -0.04187313 -0.06255706 -0.00963571]"
