seed,true_reward,final_reward
0,0.9999943926130131,[-0.09741176  0.00964453  0.99498414  0.05831368]
1,0.9999943881826654,[-0.09741279  0.00964431  0.99497455  0.05831151]
2,0.9999943838405089,[-0.0974125   0.00964382  0.99496543  0.05831265]
3,0.9999943886450432,[-0.09741306  0.00964826  0.99497654  0.05831075]
4,0.9999943867100225,[-0.09741262  0.00964724  0.99497219  0.05831064]
5,0.9999943934579396,[-0.09741287  0.00964492  0.99498606  0.05831409]
6,0.9999943888987501,[-0.09741306  0.00964921  0.99497731  0.05831044]
7,0.9999943895534488,[-0.09741245  0.00964318  0.99497723  0.05831258]
8,0.9999943846649769,[-0.09741346  0.00965091  0.99496894  0.05831086]
