seed,true_reward,final_reward
0,-9.35888239983441e-13,[-0.79993645  0.17192445  0.88059001  1.61719327]
1,-1.1404445101381583e-12,[-0.79382361  0.17043638  0.86924647  1.60354049]
2,-9.576660284435293e-13,[-0.79980445  0.17116797  0.86001156  1.61502501]
3,-1.2080461212174362e-12,[-0.79158176  0.17684725  0.872489    1.60002453]
4,-1.0194461623629801e-12,[-0.79740414  0.17493266  0.86676065  1.61117457]
5,-1.069848987788702e-12,[-0.79546327  0.17070044  0.88832238  1.60829031]
6,-1.1211349283457266e-12,[-0.79402512  0.17780114  0.873508    1.60504656]
7,-1.0406860162885302e-12,[-0.7967447   0.16943233  0.87367918  1.60977218]
8,-1.1673267151081008e-12,[-0.79292057  0.18064868  0.85923427  1.60211404]
