seed,true_reward,final_reward
0,0.9998355888625151,[-0.13814333  0.0178789   0.86268921  0.13840696]
1,0.999835609971608,[-0.13814148  0.01787615  0.86269709  0.13839905]
2,0.9998355891355725,[-0.13814331  0.01787839  0.86268921  0.13840697]
3,0.9998356131133802,[-0.13814132  0.01787888  0.86269899  0.13839738]
4,0.9998355954016378,[-0.1381428   0.01787977  0.86269187  0.13840336]
5,0.9998356066163685,[-0.13814177  0.01787677  0.86269576  0.13839968]
6,0.9998356057596269,[-0.13814195  0.01788022  0.86269617  0.13839926]
7,0.9998356018109708,[-0.13814217  0.01787638  0.86269386  0.13840228]
8,0.9998356063474136,[-0.13814196  0.01788128  0.86269673  0.13839921]
