seed,true_reward,final_reward
0,-1.086705089516654e-06,"[-0.27316382  0.00384467 -0.02267967  0.02153025  0.01794329 -0.01462103
  0.01435979  1.22568601  0.99597205]"
1,-1.196365718649841e-07,"[-0.27340605 -0.00587769 -0.03635569 -0.01030896  0.00831474 -0.02709808
  0.02174911  1.21868571  1.00006256]"
2,-1.9616377802618533e-07,"[-2.81394603e-01 -5.40605301e-04 -5.11117790e-02  1.57595361e-02
 -1.72311259e-02 -1.30068143e-02  9.75102863e-03  1.21323719e+00
  9.86893410e-01]"
3,-1.1490251171714089e-07,"[-0.27292172  0.00419394 -0.03097671 -0.01790423 -0.00266511 -0.00863773
  0.00443427  1.22022055  0.99654068]"
4,-1.996803003321389e-07,"[-2.79787815e-01  4.80347577e-03 -4.07189470e-02  6.66401589e-03
 -4.01899361e-03 -2.02900790e-02 -1.15745274e-03  1.23439367e+00
  1.00017448e+00]"
5,-8.161224063730733e-07,"[-2.78714872e-01 -3.17896293e-03 -9.55716093e-03 -2.42207262e-03
  1.05311894e-03  9.61613721e-03 -3.14763986e-03  1.22070922e+00
  9.98687425e-01]"
6,-2.097192111827191e-07,"[-0.28133155  0.00700419 -0.02957238 -0.00863837 -0.02389271  0.00354808
  0.01605504  1.21015386  1.01265537]"
7,-3.213633948146115e-07,"[-0.27323145 -0.00447667 -0.03159811  0.00391537 -0.00757988 -0.0052263
  0.00523759  1.20728371  1.0066988 ]"
8,-3.673946805405354e-08,"[-0.27961233  0.01048492 -0.0496567  -0.01331989 -0.02206443  0.01809492
  0.02165935  1.25286031  1.00460407]"
