seed,true_reward,final_reward
0,-1.6152752961930928e-06,"[-0.26487371  0.00358074 -0.02224035  0.02005227  0.01671154 -0.01379973
  0.01355643  1.181908    0.99614389]"
1,-2.0006422246282515e-07,"[-0.26509524 -0.0054742  -0.03497554 -0.00960129  0.00774396 -0.02541963
  0.02043785  1.17539403  0.99995372]"
2,-3.22681911055424e-07,"[-2.72482360e-01 -5.03494584e-04 -4.87159547e-02  1.46776975e-02
 -1.60482677e-02 -1.22953123e-02  9.26302532e-03  1.17032340e+00
  9.87688748e-01]"
3,-1.933245614495334e-07,"[-0.26464884  0.00390604 -0.02996743 -0.01667516 -0.00248216 -0.00822716
  0.00431226  1.17682228  0.99667349]"
4,-3.305640881459665e-07,"[-2.70998249e-01  4.47373348e-03 -3.90385006e-02  6.20655384e-03
 -3.74310336e-03 -1.90791140e-02 -8.96117584e-04  1.19001008e+00
  1.00005795e+00]"
5,-1.2391895123875536e-06,"[-2.70013040e-01 -2.96073793e-03 -1.00189305e-02 -2.25580556e-03
  9.80825903e-04  8.77346908e-03 -2.74901209e-03  1.17727644e+00
  9.98672851e-01]"
6,-3.4288075867897627e-07,"[-0.27242894  0.00652337 -0.02865813 -0.00804538 -0.02225255  0.00312232
  0.01513511  1.16745421  1.01168201]"
7,-5.165651041936667e-07,"[-0.26493598 -0.00416937 -0.03054611  0.00364659 -0.00705955 -0.00504994
  0.00506045  1.16478403  1.00613427]"
8,-6.496300536683222e-08,"[-0.27083395  0.00976517 -0.04736219 -0.01240552 -0.02054978  0.01667088
  0.02035439  1.2071934   1.00418344]"
