seed,true_reward,final_reward
0,0.9999811478845966,[-0.16433589  0.0253522   0.9872544   0.14071375]
1,0.9999811443971349,[-0.16433597  0.02535219  0.9872485   0.14071288]
2,0.9999811414487145,[-0.16433604  0.0253521   0.98724358  0.14071261]
3,0.9999811447336177,[-0.16433613  0.0253551   0.98724981  0.1407126 ]
4,0.9999811433684528,[-0.16433606  0.02535416  0.98724722  0.14071219]
5,0.9999811495418381,[-0.16433584  0.02535207  0.9872571   0.14071378]
6,0.9999811449027046,[-0.16433619  0.02535565  0.9872503   0.1407129 ]
7,0.9999811457408926,[-0.16433589  0.02535135  0.98725054  0.14071323]
8,0.999981140985398,[-0.16433638  0.02535707  0.98724415  0.14071229]
