seed,true_reward,final_reward
0,-5.354045640776631e-13,[-0.81968712  0.17606195  0.87836486  1.65328394]
1,-6.59033258536788e-13,[-0.81329733  0.17433082  0.86612852  1.63890041]
2,-5.485028952447099e-13,[-0.81957392  0.17521303  0.85613604  1.65098019]
3,-7.000593456132107e-13,[-0.81093921  0.18124491  0.86963992  1.63522012]
4,-5.857347303572886e-13,[-0.81704879  0.17925978  0.86343702  1.64693857]
5,-6.160663791411012e-13,[-0.81501824  0.17465772  0.88672622  1.64392092]
6,-6.471593125526765e-13,[-0.81351123  0.18231435  0.87073627  1.6405046 ]
7,-5.986221175124908e-13,[-0.81635324  0.17329631  0.87090768  1.64545797]
8,-6.75299158980782e-13,[-0.81235029  0.18537056  0.85532428  1.63740955]
