seed,true_reward,final_reward
0,1.0,[-0.01369439 -0.00328439  0.99632204  0.00278997]
1,1.0,[-0.01689237 -0.01059239  1.00556225  0.01640837]
2,1.0,[-0.00730537  0.001191    1.00217199  0.01814402]
3,1.0,[-0.01969053  0.00343193  0.98219982  0.01675039]
4,1.0,[-8.16670340e-04  2.08002566e-03  1.00034853e+00  4.57732555e-03]
