seed,true_reward,final_reward
0,0.027777777777777776,"[ -2.52721675  -3.36568716 -74.1438273  -46.19354771 -26.86236308
 -26.9042937  -20.35650946   4.76884284   0.15710076]"
1,0.027777777777777776,"[ -2.52755741  -3.36743211 -74.15695663 -46.2068386  -26.86926514
 -26.91370085 -20.36524059   4.76850977   0.1580109 ]"
2,0.027777777777777776,"[ -2.52739057  -3.3663427  -74.1597513  -46.20269126 -26.88884406
 -26.90108044 -20.3602757    4.76762709   0.15403272]"
3,0.027777777777777776,"[ -2.52731899  -3.3661341  -74.15550966 -46.21515191 -26.87953042
 -26.90054829 -20.37416514   4.76851788   0.15729904]"
4,0.027777777777777776,"[ -2.52718399  -3.36564531 -74.15542195 -46.20880237 -26.87937475
 -26.90839139 -20.36791165   4.76951801   0.15837829]"
