seed,true_reward,final_reward
0,0.4722222222222222,"[-0.50852072 -0.08230152 -1.71869072 -0.69932833 -0.59256077 -0.60839303
 -0.34932389  0.23938103  0.96552949]"
1,0.4722222222222222,"[-0.50852081 -0.08230206 -1.71869095 -0.69932959 -0.59256134 -0.60839403
 -0.3493247   0.2393796   0.96553034]"
2,0.4722222222222222,"[-0.50852081 -0.08230178 -1.71869034 -0.69932854 -0.59256512 -0.60839135
 -0.34932419  0.2393787   0.96552827]"
3,0.4722222222222222,"[-0.50852042 -0.08230167 -1.71869046 -0.69932878 -0.5925633  -0.60839125
 -0.3493248   0.2393793   0.9655301 ]"
4,0.4722222222222222,"[-0.50852065 -0.08230149 -1.71869061 -0.69932973 -0.59256346 -0.6083932
 -0.34932535  0.23938173  0.96553006]"
