seed,true_reward,final_reward
0,1.0,[-0.29881792  0.0730364   0.95808229  0.46875894]
1,1.0,[-0.29881777  0.07303649  0.95808145  0.46875799]
2,1.0,[-0.2988177   0.07303658  0.9580808   0.46875746]
3,1.0,[-0.298818    0.07303682  0.95808156  0.46875915]
4,1.0,[-0.29881764  0.07303678  0.95808128  0.46875719]
