seed,true_reward,final_reward
0,0.4722222222222222,"[-0.00657694 -0.00205583 -0.03465666 -0.00789193 -0.01155484 -0.01161006
 -0.00409879  0.0038528   0.99994592]"
1,0.4722222222222222,"[-0.00657695 -0.00205591 -0.03465678 -0.00789221 -0.01155492 -0.01161017
 -0.00409872  0.00385275  0.99994596]"
2,0.4722222222222222,"[-0.00657704 -0.00205586 -0.03465692 -0.00789198 -0.01155514 -0.01161004
 -0.00409883  0.00385271  0.99994584]"
3,0.4722222222222222,"[-0.00657694 -0.00205583 -0.03465673 -0.00789227 -0.01155502 -0.01161001
 -0.00409887  0.00385276  0.99994593]"
4,0.4722222222222222,"[-0.00657702 -0.00205582 -0.03465683 -0.00789206 -0.01155503 -0.01161011
 -0.00409892  0.00385286  0.99994596]"
