seed,true_reward,final_reward
0,1.0,[-0.03218835  0.00183893  0.99891022  0.0136849 ]
1,1.0,[-0.0321907   0.00183664  0.99890482  0.01367576]
2,1.0,[-0.0321915   0.0018378   0.99889849  0.01368292]
3,1.0,[-0.03219102  0.00183902  0.99890621  0.01367467]
4,1.0,[-0.03218912  0.00183984  0.99890146  0.01367807]
5,1.0,[-0.03219161  0.00183738  0.99891173  0.01367798]
6,1.0,[-0.03219161  0.00184017  0.99890668  0.01367511]
7,1.0,[-0.03218861  0.00183589  0.99890639  0.01367778]
8,1.0,[-0.03219229  0.0018406   0.99890183  0.01367599]
