seed,true_reward,final_reward
0,0.0,[-0.82824319  0.17783602 -0.11381259  1.66934067]
1,0.0,[-0.82172199  0.17598975 -0.12644528  1.65459995]
2,0.0,[-0.82814016  0.17694578 -0.13671197  1.66695979]
3,0.0,[-0.81931009  0.18312684 -0.12283649  1.6508436 ]
4,0.0,[-0.82555621  0.18111624 -0.12919947  1.66283086]
5,0.0,[-0.82348015  0.17634604 -0.10522739  1.65976102]
6,0.0,[-0.82194348  0.18425041 -0.12169661  1.6562543 ]
7,0.0,[-0.82484144  0.17494459 -0.12150986  1.66131616]
8,0.0,[-0.82075765  0.18739929 -0.13757289  1.65307382]
