seed,true_reward,final_reward
0,0.0,[-0.8194988   0.17580255 -0.08708954  1.65474979]
1,0.0,[-0.81309214  0.17405785 -0.09932827  1.64031767]
2,0.0,[-0.81938884  0.17495553 -0.10906212  1.65238382]
3,0.0,[-0.81072777  0.18096712 -0.09590803  1.63664545]
4,0.0,[-0.81685601  0.17899624 -0.10190031  1.64835918]
5,0.0,[-0.81481324  0.17438627 -0.07895724  1.64539865]
6,0.0,[-0.81330686  0.18204222 -0.09477277  1.64193889]
7,0.0,[-0.81615591  0.17302968 -0.09453786  1.64689456]
8,0.0,[-0.8121469   0.1850982  -0.11001641  1.63880162]
