seed,true_reward,final_reward
0,1.0,"[-1.70495701e-02  1.55984534e-07 -1.63622694e-03  8.73518392e-07
  7.27989292e-07 -3.19148548e-04  3.19137949e-04  4.63463290e-02
  9.99468146e-01]"
1,1.0,"[-1.70495926e-02 -2.38467625e-07 -1.63679610e-03 -4.18251894e-07
  3.37342932e-07 -3.19658678e-04  3.19441661e-04  4.63460782e-02
  9.99468312e-01]"
2,1.0,"[-1.70500581e-02 -2.13849352e-08 -1.63738778e-03  6.23406128e-07
 -6.81618381e-07 -3.19080290e-04  3.18951500e-04  4.63459411e-02
  9.99468758e-01]"
3,1.0,"[-1.70495611e-02  1.70155089e-07 -1.63656742e-03 -7.26404610e-07
 -1.08128177e-07 -3.18905842e-04  3.18735300e-04  4.63461333e-02
  9.99468169e-01]"
4,1.0,"[-1.70499508e-02  1.94885095e-07 -1.63697426e-03  2.70370339e-07
 -1.63057334e-07 -3.19380717e-04  3.18510555e-04  4.63466391e-02
  9.99468317e-01]"
5,1.0,"[-1.70498800e-02 -1.28975876e-07 -1.63567788e-03 -9.82675622e-08
  4.27268076e-08 -3.18158781e-04  3.18421219e-04  4.63461492e-02
  9.99468256e-01]"
6,1.0,"[-1.70500383e-02  2.84171658e-07 -1.63651269e-03 -3.50473294e-07
 -9.69367321e-07 -3.18411163e-04  3.19206494e-04  4.63457703e-02
  9.99468822e-01]"
7,1.0,"[-1.70495828e-02 -1.81626176e-07 -1.63659284e-03  1.58853161e-07
 -3.07528612e-07 -3.18767351e-04  3.18767810e-04  4.63456694e-02
  9.99468580e-01]"
8,1.0,"[-1.70499399e-02  4.25390884e-07 -1.63734127e-03 -5.40410322e-07
 -8.95191091e-07 -3.17823596e-04  3.19436494e-04  4.63472998e-02
  9.99468496e-01]"
