seed,true_reward,final_reward
0,0.8443743311695565,[-0.03218835  0.00183893  0.99891022  0.0136849 ]
1,0.8443852817963106,[-0.0321907   0.00183664  0.99890482  0.01367576]
2,0.8443868450888292,[-0.0321915   0.0018378   0.99889849  0.01368292]
3,0.84438685376132,[-0.03219102  0.00183902  0.99890621  0.01367467]
4,0.8443753958547402,[-0.03218912  0.00183984  0.99890146  0.01367807]
5,0.8443919024480261,[-0.03219161  0.00183738  0.99891173  0.01367798]
6,0.8443897594325501,[-0.03219161  0.00184017  0.99890668  0.01367511]
7,0.8443752638686106,[-0.03218861  0.00183589  0.99890639  0.01367778]
8,0.8443915007741116,[-0.03219229  0.0018406   0.99890183  0.01367599]
