seed,true_reward,final_reward
0,-0.059690378084400496,"[-0.27317037  0.00384467 -0.02271741  0.02153025  0.01794329 -0.01464069
  0.01437945  1.22568648  0.03510919]"
1,-0.02782968732862991,"[-0.27341236 -0.00587769 -0.03639181 -0.01030896  0.00831474 -0.0271169
  0.02176793  1.21868617  0.03920018]"
2,-0.03493193595482587,"[-2.81400408e-01 -5.40605301e-04 -5.11471828e-02  1.57595361e-02
 -1.72311259e-02 -1.30252450e-02  9.76945934e-03  1.21323763e+00
  2.60325538e-02]"
3,-0.028390037015274636,"[-0.27292829  0.00419394 -0.03101447 -0.01790423 -0.00266511 -0.00865738
  0.00445393  1.22022102  0.03567776]"
4,-0.03715170572234453,"[-2.79793922e-01  4.80347577e-03 -4.07557415e-02  6.66401589e-03
 -4.01899361e-03 -2.03092349e-02 -1.13829684e-03  1.23439414e+00
  3.93117979e-02]"
5,-0.055938316688688115,"[-2.78721570e-01 -3.17896293e-03 -9.59759659e-03 -2.42207262e-03
  1.05311894e-03  9.59510155e-03 -3.12660420e-03  1.22070969e+00
  3.78229739e-02]"
6,-0.03508922335453176,"[-0.28133785  0.00700419 -0.02961072 -0.00863837 -0.02389271  0.00352812
  0.016075    1.21015432  0.05179083]"
7,-0.04183878723515032,"[-0.2732381  -0.00447667 -0.0316363   0.00391537 -0.00757988 -0.00524618
  0.00525748  1.20728417  0.04583479]"
8,-0.017021318212178678,"[-0.27961847  0.01048492 -0.04969358 -0.01331989 -0.02206443  0.01807572
  0.02167855  1.25286079  0.04374096]"
