seed,true_reward,final_reward
0,0.9568350688314086,[-0.29564022  0.07262182  0.95927055  0.45167658]
1,0.956899816022228,[-0.29544039  0.072564    0.95912984  0.45053867]
2,0.9566849787293872,[-0.29563518  0.07262224  0.95890165  0.45157751]
3,0.9569550184164066,[-0.29539162  0.07267349  0.95920164  0.45024517]
4,0.9567815675059044,[-0.29556877  0.07267605  0.95904213  0.45121443]
5,0.9570126400136205,[-0.29548288  0.07256733  0.95946384  0.45083987]
6,0.9569063112784932,[-0.29546626  0.07270764  0.95919582  0.45065514]
7,0.9568682588834371,[-0.29552881  0.07255916  0.95918234  0.45104942]
8,0.9568098028162617,[-0.29544805  0.07276583  0.95894209  0.45048818]
