seed,true_reward,final_reward
0,0.6679169320338976,[-7.28650174e-03  2.01570589e-04  9.95478619e-01  3.46797594e-03]
1,0.6679170427486132,[-7.28649350e-03  2.01558592e-04  9.95479200e-01  3.46792904e-03]
2,0.6679171425910365,[-7.28650522e-03  2.01565048e-04  9.95479185e-01  3.46795777e-03]
3,0.6679170340333703,[-7.28649272e-03  2.01569084e-04  9.95479206e-01  3.46792080e-03]
4,0.6679171194837565,[-7.28650253e-03  2.01570455e-04  9.95479195e-01  3.46794782e-03]
5,0.667917031699206,[-7.28651131e-03  2.01559065e-04  9.95478640e-01  3.46793325e-03]
6,0.6679171341046055,[-7.28650379e-03  2.01572879e-04  9.95479206e-01  3.46793134e-03]
7,0.6679170424519308,[-7.28649340e-03  2.01560064e-04  9.95479205e-01  3.46794444e-03]
8,0.6679171137069989,[-7.28650234e-03  2.01576366e-04  9.95479187e-01  3.46792617e-03]
